index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
139,Aspen Extreme,"Jan 22, 1993",Romantic Comedy,PG-13,7843388,15970955
140,Homeward Bound: The Incredible Journey,"Feb 3, 1993",Adventure,G,41833324,85182343
141,The Cemetery Club,"Feb 3, 1993",Comedy,PG-13,5583621,11369541
142,Swing Kids,"Mar 5, 1993",Musical,PG-13,5632086,11468231
143,A Far Off Place,"Mar 12, 1993",Adventure,PG,12890752,26248558
144,Born Yesterday,"Mar 26, 1993",Romantic Comedy,PG,17760754,36165012
145,The Adventures of Huck Finn,"Apr 2, 1993",Adventure,PG,24103594,49080505
146,Bound by Honor,"Apr 16, 1993",,R,4496583,9156084
147,Indian Summer,"Apr 23, 1993",Comedy,R,14717851,29968953
148,Super Mario Bros.,"May 28, 1993",Action,PG,20844907,42445058
149,Guilty as Sin,"Jun 4, 1993",Thriller/Suspense,R,22622537,46064723
150,Life With Mikey,"Jun 4, 1993",Comedy,PG,12349549,25146538
151,What's Love Got to Do With It,"Jun 9, 1993",Drama,R,39100956,79618610
152,Son in Law,"Jul 2, 1993",Comedy,PG-13,25989889,52921433
153,Hocus Pocus,"Jul 16, 1993",Comedy,PG,39360491,80147079
154,Another Stakeout,"Jul 23, 1993",Comedy,PG-13,20107504,40943541
155,My Boyfriend's Back,"Aug 6, 1993",,PG-13,3218882,6554384
156,Father Hood,"Aug 27, 1993",,PG-13,3268203,6654819
157,The Joy Luck Club,"Sep 8, 1993",Drama,R,32790064,66768171
158,Money for Nothing,"Sep 10, 1993",Comedy,R,1044824,2127496
159,The Program,"Sep 24, 1993",Action,R,23042200,46919256
160,Cool Runnings,"Oct 1, 1993",Comedy,PG,68856263,140392731
161,The Nightmare Before Christmas,"Oct 13, 1993",Musical,PG,50408318,100026637
162,The Three Musketeers,"Nov 12, 1993",Adventure,PG,53661805,109310377
163,Sister Act 2 Back in the Habit,"Dec 10, 1993",Comedy,PG,57319029,116965668
164,Tombstone,"Dec 25, 1993",Western,R,56505065,115781734
165,The Air Up There,"Jan 7, 1994",Comedy,PG,20782439,42940186
166,Cabin Boy,"Jan 7, 1994",Comedy,PG-13,3469493,7168577
167,Iron Will,"Jan 14, 1994",Drama,PG,20623071,42610902
168,Red Rock West,"Jan 28, 1994",,R,2502551,5170709
169,Blank Check,"Feb 11, 1994",Comedy,PG,30573770,63170804
170,Angie,"Mar 4, 1994",Comedy,R,9252349,19116981
171,The Ref,"Mar 9, 1994",Comedy,R,11325885,23401275
172,D2: The Mighty Ducks,"Mar 25, 1994",Comedy,PG,45604206,94226333
173,Holy Matrimony,"Apr 8, 1994",Comedy,,713234,1473665
174,White Fang 2: Myth of the White Wolf,"Apr 15, 1994",Adventure,PG,8752399,18083994
175,The Inkwell,"Apr 22, 1994",Comedy,R,8864699,18316030
176,When a Man Loves a Woman,"Apr 29, 1994",Drama,R,50021959,103354194
177,3 Ninjas Kick Back,"May 6, 1994",Action,PG,11744960,24267154
178,Renaissance Man,"Jun 3, 1994",Comedy,PG-13,24172899,49945474
179,The Lion King,"Jun 15, 1994",Adventure,G,422780140,761640898
180,I Love Trouble,"Jun 29, 1994",Romantic Comedy,PG,30806194,63651027
181,Angels in the Outfield,"Jul 15, 1994",Comedy,PG,50236831,103798152
182,In the Army Now,"Aug 12, 1994",Comedy,PG,28881266,59673787
183,Color of Night,"Aug 19, 1994",Thriller/Suspense,R,19750470,40804816
184,Camp Nowhere,"Aug 26, 1994",Comedy,PG,10442641,21576332
185,It's Pat,"Aug 26, 1994",Comedy,,60822,125666
186,A Simple Twist of Fate,"Sep 2, 1994",Drama,PG-13,3404935,7035189
187,Quiz Show,"Sep 14, 1994",Drama,PG-13,24787282,50840394
188,Terminal Velocity,"Sep 23, 1994",Action,PG-13,16478900,34048315
189,Ed Wood,"Sep 30, 1994",Comedy,R,5828466,12042634
190,The Puppet Masters,"Oct 21, 1994",Horror,R,8579626,17727017
191,Squanto: A Warrior's Tale,"Oct 28, 1994",Drama,PG,3319344,6858345
192,The Santa Clause,"Nov 11, 1994",Comedy,PG,144833357,298369717
193,A Low Down Dirty Shame,"Nov 23, 1994",Action,R,29317886,60321919
194,The Jungle Book,"Dec 25, 1994",Adventure,PG,44342956,88930321
195,Houseguest,"Jan 6, 1995",Comedy,PG,26325256,51016522
196,Bad Company,"Jan 20, 1995",Thriller/Suspense,R,3523909,6829092
197,Miami Rhapsody,"Jan 27, 1995",Romantic Comedy,PG-13,5086578,9857435
198,The Jerky Boys,"Feb 3, 1995",Comedy,R,7555256,14641561
199,Heavy Weights,"Feb 17, 1995",Comedy,PG,17671310,34245779
200,Man of the House,"Mar 3, 1995",Comedy,PG,40029009,77573459
201,Roommates,"Mar 3, 1995",Comedy,PG,12076989,23404369
202,Tall Tale,"Mar 24, 1995",Western,PG,8247627,15983331
203,A Pyromaniac's Love Story,"Mar 28, 1995",Romantic Comedy,PG,468240,907414
204,Jefferson in Paris,"Mar 31, 1995",Drama,PG-13,2461628,4770461
205,Funny Bones,"Mar 31, 1995",Comedy,R,529135,1025425
206,A Goofy Movie,"Apr 7, 1995",Comedy,G,35336439,68479579
207,While You Were Sleeping,"Apr 21, 1995",Romantic Comedy,PG,81057016,157082900
208,Crimson Tide,"May 12, 1995",Action,R,91387195,177102077
209,Mad Love,"May 26, 1995",Drama,PG-13,15446532,29934306
210,Pocahontas,"Jun 10, 1995",Adventure,G,141579773,274370957
211,Judge Dredd,"Jun 30, 1995",Action,R,34687912,67222776
212,Operation Dumbo Drop,"Jul 28, 1995",Adventure,PG,24670346,47809421
213,Dangerous Minds,"Aug 11, 1995",Drama,R,84919401,164552293
214,A Kid in King Arthur's Court,"Aug 11, 1995",Adventure,PG,13406717,25981285
215,The Tie That Binds,"Sep 8, 1995",Thriller/Suspense,R,5762795,11167895
216,Unstrung Heroes,"Sep 15, 1995",Drama,PG,7929000,15365850
217,The Big Green,"Sep 29, 1995",Comedy,PG,17736619,34372339
218,Dead Presidents,"Oct 4, 1995",Drama,R,24120194,46741467
219,The Scarlet Letter,"Oct 13, 1995",Drama,R,10359006,20075033
220,Feast of July,"Oct 13, 1995",Drama,R,293274,568342
221,Powder,"Oct 27, 1995",Drama,PG-13,30833914,59727216
222,Toy Story,"Nov 22, 1995",Adventure,G,191796233,370409631
223,Father of the Bride Part II,"Dec 8, 1995",Comedy,PG,76578911,147658438
224,Nixon,"Dec 20, 1995",Drama,R,13668249,26302005
225,Tom and Huck,"Dec 22, 1995",Adventure,PG,23837227,45911517
226,Mr. Holland's Opus,"Dec 29, 1995",Drama,PG,82582604,157508868
227,White Squall,"Feb 2, 1996",Adventure,PG-13,10229300,19509726
228,Muppet Treasure Island,"Feb 16, 1996",Adventure,G,34327391,65470567
229,Mr. Wrong,"Feb 16, 1996",Romantic Comedy,PG-13,12805071,24422334
230,Before and After,"Feb 23, 1996",Drama,PG-13,8642118,16482589
231,Up Close & Personal,"Mar 1, 1996",Drama,PG-13,51045801,97356578
232,Homeward Bound II: Lost in San Franc…,"Mar 8, 1996",Adventure,G,32709423,62384706
233,Two Much,"Mar 15, 1996",Romantic Comedy,PG-13,1078555,2057055
234,Un indien dans la ville,"Mar 22, 1996",Comedy,PG,1029731,1963937
235,James and the Giant Peach,"Apr 12, 1996",Adventure,PG,28921264,55159783
236,Celtic Pride,"Apr 19, 1996",Comedy,PG-13,9240378,17623615
237,Last Dance,"May 3, 1996",Drama,R,5857534,11171714
238,Boys,"May 10, 1996",Drama,PG-13,21930418,41826566
239,Spy Hard,"May 24, 1996",Comedy,PG-13,26936265,51373912
240,Eddie,"May 31, 1996",Comedy,PG-13,31369401,59828966
241,The Rock,"Jun 7, 1996",Action,R,134069511,255702705
242,The Hunchback of Notre Dame,"Jun 21, 1996",Adventure,G,100138851,190988799
243,Phenomenon,"Jul 5, 1996",Drama,PG,104636382,199559799
244,Kazaam,"Jul 17, 1996",Comedy,PG,18880508,36009655
245,Jack,"Aug 9, 1996",Drama,PG-13,58617334,111792852
246,First Kid,"Aug 30, 1996",Comedy,PG,26465920,50465108
247,The Rich Man's Wife,"Sep 13, 1996",Thriller/Suspense,R,8538318,16284619
248,D3: The Mighty Ducks,"Oct 4, 1996",Comedy,PG,22936273,43713554
249,The Associate,"Oct 25, 1996",Comedy,PG-13,12772657,24333094
250,Ransom,"Nov 8, 1996",Action,R,136492681,259807820
251,The War at Home,"Nov 20, 1996",,R,34368,65543
252,101 Dalmatians,"Nov 27, 1996",Comedy,G,136189294,258728898
253,The Preacher's Wife,"Dec 13, 1996",Drama,PG,48102795,91076877
254,Evita,"Dec 25, 1996",Musical,PG,50047179,92077628
255,Metro,"Jan 17, 1997",Action,R,32017895,58804106
256,Prefontaine,"Jan 24, 1997",Drama,PG-13,590817,1085093
257,Shadow Conspiracy,"Jan 31, 1997",Thriller/Suspense,R,2154540,3957025
258,That Darn Cat,"Feb 14, 1997",Comedy,PG,18301828,33613158
259,Jungle 2 Jungle,"Mar 7, 1997",Comedy,PG,59925026,110058379
260,The Sixth Man,"Mar 28, 1997",Comedy,PG-13,14765099,27117599
261,Grosse Pointe Blank,"Apr 11, 1997",Black Comedy,R,28084357,51579764
262,Romy and Michele's High School Reunion,"Apr 25, 1997",Comedy,R,29235353,53693680
263,Gone Fishin',"May 30, 1997",Comedy,PG,19745922,36265379
264,Con Air,"Jun 6, 1997",Action,R,101117573,185712664
265,Hercules,"Jun 13, 1997",Adventure,G,99112101,182029412
266,George Of The Jungle,"Jul 16, 1997",Comedy,PG,105263257,193326632
267,Nothing To Lose,"Jul 18, 1997",Comedy,R,44480039,81692095
268,Air Bud,"Aug 1, 1997",Comedy,PG,24646936,45266588
269,G.I. Jane,"Aug 22, 1997",Drama,R,48169156,88467531
270,A Thousand Acres,"Sep 19, 1997",Drama,R,7928412,14561324
271,Washington Square,"Oct 5, 1997",Drama,PG,1775644,3257546
272,Rocket Man,"Oct 10, 1997",Comedy,PG,15448043,28371890
273,Playing God,"Oct 17, 1997",Thriller/Suspense,R,4166918,7652965
274,Flubber,"Nov 26, 1997",Comedy,PG,92993801,170406423
275,An American Werewolf in Paris,"Dec 25, 1997",Horror,R,26570463,48546161
276,Mr. Magoo,"Dec 25, 1997",Comedy,PG,21437192,39145784
277,Kundun,"Dec 25, 1997",Drama,PG-13,5686694,10236836
278,Deep Rising,"Jan 30, 1998",Action,R,11203026,20136775
279,Krippendorf's Tribe,"Feb 27, 1998",Comedy,PG-13,7571115,13608633
280,An Alan Smithee Film: Burn Hollywood …,"Feb 27, 1998",Comedy,R,45779,82277
281,Meet the Deedles,"Mar 27, 1998",Comedy,PG,4356126,7829877
282,He Got Game,"May 1, 1998",Drama,R,21567853,38766948
283,The Horse Whisperer,"May 15, 1998",Drama,PG-13,75383563,135497531
284,"Six Days, Seven Nights","Jun 12, 1998",Romantic Comedy,PG-13,74339294,133620516
285,Mulan,"Jun 19, 1998",Adventure,G,120620254,216807832
286,Armageddon,"Jul 1, 1998",Adventure,PG-13,201578182,362324957
287,Jane Austen's Mafia,"Jul 24, 1998",Comedy,PG-13,19843795,35668055
288,The Parent Trap,"Jul 29, 1998",Comedy,PG,66308518,119185667
289,Firelight,"Sep 4, 1998",Drama,R,784419,1409943
290,Simon Birch,"Sep 11, 1998",Drama,PG,18253415,32809442
291,Holy Man,"Oct 9, 1998",Comedy,PG,12069719,21694605
292,Beloved,"Oct 16, 1998",Drama,R,22852487,41062682
293,The Waterboy,"Nov 6, 1998",Comedy,PG-13,161491646,288691833
294,I'll Be Home For Christmas,"Nov 13, 1998",Comedy,PG,12214338,21941840
295,A Bug's Life,"Nov 20, 1998",Adventure,G,162798565,288981698
296,Enemy of the State,"Nov 20, 1998",Action,R,111549836,198472008
297,Rushmore,"Dec 11, 1998",Black Comedy,R,17105219,28392518
298,A Civil Action,"Dec 25, 1998",Drama,PG-13,56709981,94139530
299,Mighty Joe Young,"Dec 25, 1998",Adventure,PG,50632037,87906042
300,My Favorite Martian,"Feb 12, 1999",Comedy,PG,36850101,61150849
301,The Other Sister,"Feb 26, 1999",Romantic Comedy,PG-13,27807627,46145331
302,Doug's 1st Movie,"Mar 26, 1999",Adventure,G,19421271,32228598
303,Ten Things I Hate About You,"Mar 31, 1999",Romantic Comedy,PG-13,38177966,63354375
304,Endurance,"May 14, 1999",,PG,229128,380218
305,Instinct,"Jun 4, 1999",Drama,R,34105207,56595842
306,Tarzan,"Jun 16, 1999",Adventure,G,171091819,283900254
307,Summer of Sam,"Jul 2, 1999",Drama,R,19288130,32007656
308,Inspector Gadget,"Jul 23, 1999",Comedy,PG,97387965,161610341
309,The Sixth Sense,"Aug 6, 1999",Thriller/Suspense,PG-13,293506292,485424724
310,The 13th Warrior,"Aug 27, 1999",Action,R,32698899,54262148
311,Breakfast of Champions,"Sep 17, 1999",Comedy,R,178287,295851
312,Mumford,"Sep 24, 1999",Comedy,R,4559569,7566363
313,"Mystery, Alaska","Oct 1, 1999",Comedy,R,8891623,14755189
314,The Straight Story,"Oct 15, 1999",Drama,G,6197866,10111144
315,The Insider,"Nov 5, 1999",Drama,R,28965197,47794214
316,Toy Story 2,"Nov 19, 1999",Adventure,G,245852179,404450426
317,Cradle Will Rock,"Dec 8, 1999",Drama,R,2899970,4609153
318,Deuce Bigalow: Male Gigolo,"Dec 10, 1999",Comedy,R,65535067,106921374
319,Bicentennial Man,"Dec 17, 1999",Drama,PG,58220776,94838225
320,Play it to the Bone,"Dec 24, 1999",Comedy,R,8427204,13180524
321,Fantasia 2000 (IMAX),"Jan 1, 2000",Musical,G,60507228,94852354
322,Gun Shy,"Feb 4, 2000",Comedy,R,1638202,2562155
323,The Tigger Movie,"Feb 11, 2000",Adventure,G,45542421,71228678
324,Mission to Mars,"Mar 10, 2000",Adventure,PG,60874615,95208344
325,High Fidelity,"Mar 31, 2000",Comedy,R,27277055,42661516
326,Keeping the Faith,"Apr 14, 2000",Romantic Comedy,PG-13,37036404,57925202
327,Dinosaur,"May 19, 2000",Adventure,PG,137748063,215438985
328,Shanghai Noon,"May 26, 2000",Western,PG-13,56932305,89042541
329,Gone in 60 Seconds,"Jun 9, 2000",Action,PG-13,101643008,158970411
330,Fantasia 2000 (Theatrical Release),"Jun 16, 2000",Musical,G,9103630,14238144
331,The Kid,"Jul 7, 2000",Comedy,PG,69688384,108993148
332,Coyote Ugly,"Aug 4, 2000",Drama,PG-13,60786269,95070168
333,The Crew,"Aug 25, 2000",Comedy,PG-13,13019253,20362201
334,Duets,"Sep 15, 2000",Drama,R,4734235,7404372
335,Remember the Titans,"Sep 29, 2000",Drama,PG,115654751,180742479
336,Unbreakable,"Nov 22, 2000",Thriller/Suspense,PG-13,94999143,148208901
337,102 Dalmatians,"Nov 22, 2000",Comedy,G,66941559,104055039
338,The Emperor's New Groove,"Dec 15, 2000",Adventure,G,89296573,136789252
339,"O Brother, Where Art Thou?","Dec 22, 2000",Comedy,PG-13,45506619,67922002
340,Double Take,"Jan 12, 2001",Action,PG-13,29823162,44418589
341,Recess: School's Out,"Feb 16, 2001",Comedy,G,36696761,54656124
342,Just Visiting,"Apr 6, 2001",Comedy,PG-13,4777007,7114869
343,Pearl Harbor,"May 25, 2001",Action,PG-13,198539855,295705112
344,Atlantis: The Lost Empire,"Jun 8, 2001",Adventure,PG,84052762,125188122
345,crazy/beautiful,"Jun 29, 2001",Drama,PG-13,16929123,25214223
346,The Princess Diaries,"Aug 3, 2001",Comedy,G,108244774,161218928
347,Bubble Boy,"Aug 24, 2001",Comedy,PG-13,5002310,7450434
348,Max Keeble's Big Move,"Oct 5, 2001",Comedy,PG,17292381,25749730
349,Corky Romano,"Oct 12, 2001",Comedy,PG-13,23978402,35705805
350,High Heels and Low Lifes,"Oct 26, 2001",,R,226792,337782
351,"Monsters, Inc.","Nov 2, 2001",Adventure,G,289423425,416073179
352,Out Cold,"Nov 21, 2001",Comedy,PG-13,13906394,20700691
353,The Royal Tenenbaums,"Dec 14, 2001",Black Comedy,R,52353636,76758193
354,Beauty and the Beast (IMAX),"Jan 1, 2002",Musical,G,25487028,36980311
355,Frank McKlusky C.I.,"Jan 1, 2002",,,0,0
356,Snow Dogs,"Jan 18, 2002",Comedy,PG,81150692,117745317
357,The Count of Monte Cristo,"Jan 25, 2002",Drama,PG-13,54228104,78682079
358,Peter Pan: Return to Neverland,"Feb 15, 2002",Adventure,G,48430258,70269715
359,Reign of Fire,"Feb 19, 2002",Action,PG-13,43061982,62480631
360,Sorority Boys,"Mar 22, 2002",Comedy,R,10198766,14797862
361,The Rookie,"Mar 29, 2002",Drama,G,75600072,109691666
362,Big Trouble,"Apr 5, 2002",Comedy,PG-13,7262288,10537188
363,ESPN's Ultimate X - The Movie,"May 10, 2002",Documentary,PG,4197175,6089874
364,Bad Company,"Jun 7, 2002",Action,PG-13,30157016,43756218
365,Lilo & Stitch,"Jun 21, 2002",Adventure,PG,145771527,211506702
366,The Country Bears,"Jul 26, 2002",Adventure,G,16988996,24650121
367,Signs,"Aug 2, 2002",Thriller/Suspense,PG-13,227965690,330754439
368,Sen to Chihiro no Kamikakushi,"Sep 20, 2002",Adventure,PG,10049886,14338992
369,Sweet Home Alabama,"Sep 27, 2002",Comedy,PG-13,127214072,184521151
370,Moonlight Mile,"Sep 27, 2002",Drama,PG-13,6830957,9909094
371,Tuck Everlasting,"Oct 11, 2002",Drama,PG,19161999,27789959
372,The Santa Clause 2,"Nov 1, 2002",Comedy,G,139225854,201959095
373,Treasure Planet,"Nov 27, 2002",Adventure,PG,38120554,55189145
